;Error_Word;Correct_Word;substitution;insertion;deletion;transposition;single/multi
529;Bauunzeenehmen;Bauunternehmen;2;;;;2
530;Abfallentsotgungsverband;Abfallentsorgungsverband;1;;;;1
531;Abfallentsotgung;Abfallentsorgung;1;;;;1
532;Wohungen;Wohnungen;;;1;;1
533;Eventmanufraktur;Eventmanufaktur;;1;;;1
534;Schreinrr;Schreiner;1;;;;1
535;Schmuckherstellungm;Schmuckherstellung;;1;;;1
536;kinderarztin;Kinderärztin;1;;;;1
537;haushaly;Haushalt;1;;;;1
538;Küchenmpnteur;Küchenmonteur;1;;;;1
539;Hausmeisteservice;Hausmeisterservice;;;1;;1
541;Verischerungsnakkler;Versicherungsmakler;1;1;;1;3
542;sonnenschuztz;Sonnenschutz;;1;;;1
543;Montagerbeiter;Montagearbeiter;;;1;;1
544;fliesenleher;Fliesenleger;1;;;;1
545;kinstler;Künstler;1;;;;1
546;PlasterVersiegelung;Pflasterversiegelung;;;1;;1
547;nd;und;;;1;;1
548;folientecvhnik;Folientechnik;;1;;;1
549;Verscherungsmakler;Versicherungsmakler;;;1;;1
550;zahnarzrt;Zahnarzt;;1;;;1
551;monteir;Monteur;1;;;;1
552;internit;Internist;;;1;;1
553;Zutrittfskontrollsystem;Zutrittskontrollsystem;;1;;;1
554;zanarzt;Zahnarzt;;;1;;1
555;weihnachtsbäumje;Weihnachtsbäume;;1;;;1
556;praezesion;Präzision;2;1;;;3
557;Stefsn;Stefan;1;;;;1
558;Alternetive;Alternative;1;;;;1
559;Werkstadt;Werkstatt;1;;;;1
560;großlameeln;Großlamellen;;;1;1;2
561;kosmetikverpackungne;Kosmetikverpackungen;;;;1;1
562;Ergothetapie;Ergotherapie;1;;;;1
563;Rechtsanwatrlt;Rechtsanwalt;;2;;;2
564;psychiatr;Psychiater;;;1;;1
565;reprstursturwerkstatt;Reparaturwerkstatt;1;3;1;;5
566;reperssturwerkstatt;Reparaturwerkstatt;2;1;;;3
567;Autoreperatur;Autoreparatur;1;;;;1
568;werkstattteichnik;Werkstatttechnik;;1;;;1
569;Fensterreinigger;Fensterreiniger;;1;;;1
570;reparasturwerkstatt;Reparaturwerkstatt;;1;;;1
571;Instandsetztung;Instandsetzung;;1;;;1
572;Bestattungn;Bestattungen;;;1;;1
573;reparstursturwerkstatt;Reparaturwerkstatt;1;4;;;5
574;hasuverwaltung;Hausverwaltung;;;;1;1
575;Gastroenteroligen;Gastroenterologen;1;;;;1
576;Umzugunternehmen;Umzugsunternehmen;;;1;;1
577;heilpraktikwer;Heilpraktiker;;1;;;1
578;fischgrosshanel;Fischgroßhandel;1;1;1;;3
579;Fernsehtechnicker;Fernsehtechniker;;1;;;1
580;zhum;zum;;1;;;1
581;düsselsorf;Düsseldorf;1;;;;1
582;mKinderarzt;Kinderarzt;;1;;;1
583;raumaustatter;Raumausstatter;;;1;;1
584;Contatiner;Container;;1;;;1
585;beswtattung;Bestattung;;1;;;1
586;göotechnik;Geotechnik;1;;;;1
587;getränkenarkt;Getränkemarkt;1;;;;1
588;Angelikw;Angelika;1;;;;1
589;Osteopatie;Osteopathie;;;1;;1
590;Abschleppdiensz;Abschleppdienst;1;;;;1
591;Baufberatung;Bauberatung;;1;;;1
592;Schumachwr;Schumacher;1;;;;1
593;Versicherunh;Versicherung;1;;;;1
595;Rechtsafnwalt;Rechtsanwalt;;1;;;1
596;feinscreeming;Feinscreening;1;;;;1
597;Husarzt;Hausarzt;;;1;;1
598;webvdesign;Webdesign;;1;;;1
599;pfussbodenverlegung;Fußbodenverlegung;1;2;;;3
600;Liehferservice;Lieferservice;;1;;;1
601;Sugenarzt;Augenarzt;1;;;;1
602;Merceded;Mercedes;1;;;;1
603;Augenarbzt;Augenarzt;;1;;;1
604;Rechtsanwalvt;Rechtsanwalt;;1;;;1
605;raqelett;Raclette;1;;1;;2
606;Psyotherapie;Psychotherapie;;;2;;2
607;sexualdilikt;Sexualdelikt;1;;;;1
608;familuen;Familien;1;;;;1
609;Psychootherapie;Psychotherapie;;1;;;1
610;Psysiotherapie;Physiotherapie;1;;;;1
611;Medizingutachet;Medizingutachter;1;;;;1
612;rainigung;Reinigung;1;;;;1
613;Pizaria;Pizzeria;1;;1;;2
614;Erfrut;Erfurt;;;;1;1
615;Uaunbau;Zaunbau;1;;;;1
616;Kurierdinst;Kurierdienst;;;1;;1
617;Resturant;Restaurant;;;1;;1
618;Neurolohe;Neurologe;1;;;;1
619;Fesnterputzer;Fensterputzer;;;;1;1
620;kurzeitpflege;Kurzzeitpflege;;;1;;1
621;Altpfleger;Altenpfleger;;;2;;2
622;testeintrsg;Testeintrag;1;;;;1
623;heilpraktil;Heilpraktiker;1;;2;;3
624;Maikler;Makler;;1;;;1
625;Reifenservide;Reifenservice;1;;;;1
626;Kreisparkasse;Kreissparkasse;;;1;;1
627;ostepathen;Osteopathen;;;1;;1
628;abrucv;Abbruch;1;;1;;2
629;verbraucherscutz;Verbraucherschutz;;;1;;1
630;Ordnug;Ordnung;;;1;;1
631;testeintrah;Testeintrag;1;;;;1
632;immobilienakler;Immobilienmakler;;;1;;1
634;fahrzeugaufbereitwr;Fahrzeugaufbereiter;1;;;;1
635;haushaltsuaflösung;Haushaltsauflösung;;;;1;1
636;Praxies;Praxis;;1;;;1
637;Meditiintechnik;Medizintechnik;;1;;;1
638;Metzgereiq;Metzgerei;;1;;;1
639;Fensternbau;Fensterbau;;1;;;1
640;verbraucherscgutz;Verbraucherschutz;1;;;;1
641;Versicherug;Versicherung;;;1;;1
642;Cherugie;Chirurgie;1;;1;;2
643;Rechtsanwalto;Rechtsanwalt;;1;;;1
644;Ordnugn;Ordnung;;;;1;1
645;orologe;Urologe;1;;;;1
646;limusinservice;Limousinenservice;;;1;;1
647;unternehmensberateung;Unternehmensberatung;;1;;;1
648;persontransport;Personentransport;;;2;;2
649;eizung;Heizung;;;1;;1
650;verbrauchersutz;Verbraucherschutz;;;2;;2
651;rohrbflussreinigung;Rohrabflussreinigung;;;1;;1
652;Sportfisiotheraphie;Sportphysiotherapie;2;;1;;3
653;Hausabrzt;Hausarzt;;1;;;1
654;Zahsnarzt;Zahnarzt;;1;;;1
655;verker;Verkehr;;;1;;1
656;Pwtrone;Patrone;1;;;;1
657;scgeidung;Scheidung;1;;;;1
658;Immobiöie;Immobilie;1;;;;1
659;jektvermietung;Objektvermietung;;;2;;2
660;ohnungsvermietung;Wohnungsvermietung;;;1;;1
661;immobiliejn;Immobilien;;1;;;1
662;Apothrkren;Apotheken;1;1;;;2
663;Reheklinik;Rehaklinik;1;;;;1
664;heizungsistalation;Heizungsinstallation;;;2;;2
665;Geschekkörbe;Geschenkkörbe;;;1;;1
666;Gastroenterelogie;Gastroenterologie;1;;;;1
667;Berufsbildene;berufsbildende;;;1;;1
668;Spotheke;Apotheke;1;;;;1
669;sanierunf;Sanierung;1;;;;1
670;Autowerkstadtt;Autowerkstatt;;1;;;1
671;Berufsbildede;berufsbildende;;;1;;1
672;Küchsenstudio;Küchenstudio;;1;;;1
673;partysercice;Partyservice;1;;;;1
674;grundbuchn;Grundbuch;;1;;;1
675;Wellnessassage;Wellnessmassage;;;1;;1
676;Wellnesmassage;Wellnessmassage;;;1;;1
677;diakomissenkrankenhaus;Diakonissenkrankenhaus;1;;;;1
678;fotosdtudio;Fotostudio;;1;;;1
679;cheffsessel;Chefsessel;;1;;;1
680;Scheidgung;Scheidung;;1;;;1
681;Pfandleihaus;Pfandleihhaus;;;1;;1
682;elekto;Elektro;;;1;;1
683;Zahnsrtz;Zahnarzt;1;;;1;2
684;keangkenkasse;Krankenkasse;1;1;;;2
685;Restorant;Restaurant;1;;1;;2
686;Ayurvedmassage;Ayurvedamassage;;;1;;1
687;Podoltoge;Podologe;;1;;;1
688;Massagpraxis;Massagepraxis;;;1;;1
689;Steuerbearter;Steuerberater;;;;1;1
690;fiedhofsgärtnerei;Friedhofsgärtnerei;;;1;;1
691;Sägewerg;Sägewerk;1;;;;1
692;Christbaumverkaudf;Christbaumverkauf;;1;;;1
693;Dedorationen;Dekorationen;1;;;;1
694;Servwerkstatt;Servicewerkstatt;;;3;;3
695;Briefmarkten;Briefmarken;;1;;;1
696;Munzen;Münzen;1;;;;1
697;Hiezkraftwerk;Heizkraftwerk;;;;1;1
698;Möbelschreinereil;Möbelschreinerei;;1;;;1
699;Kunststofff;Kunststoff;;1;;;1
700;Edeltraug;Edeltraud;1;;;;1
701;orthopäda;Orthopäde;1;;;;1
702;Immobilnmakler;Immobilienmakler;;;2;;2
703;gebäudereiningun;Gebäudereinigung;;1;1;;2
704;Urdrologe;Urologe;;2;;;2
705;Hsndwerker;Handwerker;1;;;;1
706;gesunndheit;Gesundheit;;1;;;1
707;Urdologe;Urologe;;1;;;1
708;Gartenbaau;Gartenbau;;1;;;1
709;Gastroentereologei;Gastroenterologie;;1;;1;2
710;kunststofffe;Kunststoffe;;1;;;1
711;Geträmk;Getränk;1;;;;1
712;Immobliele;Immobilie;;2;1;;3
713;sppiegel;Spiegel;;1;;;1
714;Malerbetrib;Malerbetrieb;;;1;;1
715;Tiefbu;Tiefbau;;;1;;1
716;goldbrunen;Goldbrunnen;;;1;;1
717;Immobiloenmakler;Immobilienmakler;1;;;;1
718;christiam;Christian;1;;;;1
719;Elektrocervice;Elektroservice;1;;;;1
720;Goldvrkauf;Goldverkauf;1;;;;1
721;Augenarztin;Augenärztin;1;;;;1
722;Ölhezung;Ölheizung;;;1;;1
723;Cpmputer;Computer;1;;;;1
724;generationswechse;Generationswechsel;;;1;;1
725;schulerbeförderungt;Schülerbeförderung;1;1;;;2
726;sozialdient;Sozialdienst;;;1;;1
727;Verkehrsrechg;Verkehrsrecht;1;;;;1
728;blummen;Blumen;;1;;;1
729;Onkolohoe;Onkologie;2;;;;2
730;Autoerkstatt;Autowerkstatt;;;1;;1
731;immobilinemakler;Immobilienmakler;;;;1;1
733;organsiation;Organisation;;;;1;1
734;laserteechnik;Lasertechnik;;1;;;1
735;allgemwin;allgemein;1;;;;1
736;Heilpraktiger;Heilpraktiker;1;;;;1
737;Beksung;Bekiesung;;;2;;2
738;Bkiesung;Bekiesung;;;1;;1
739;Bautenschurz;Bautenschutz;1;;;;1
740;Algemeinpraxis;Allgemeinpraxis;;;1;;1
741;HEITZÖLTANKENTSORGUNG;Heizöltankentsorgung;;1;;;1
742;unternhemen;Unternehmen;;;;1;1
743;Einkazf;Einkauf;1;;;;1
744;Frausrtz;Frauenarzt;1;;2;1;4
745;plastosche;plastische;1;;;;1
746;Schirurg;Chirurg;;1;;;1
747;Dachdeckerkerei;Dachdeckerei;;3;;;3
748;Immobilienmarkler;Immobilienmakler;;1;;;1
749;Spenglerarbeten;Spenglerarbeiten;;;1;;1
750;Frieseue;Friseur;1;1;;;2
751;Anhängervermierung;Anhängervermietung;1;;;;1
752;Fleuscherei;Fleischerei;1;;;;1
753;Gäbeudereinigug;Gebäudereinigung;2;;;;2
754;Confiserie;Konfiserie;1;;;;1
755;entrümplungen;Entrümpelungen;;;;;1
756;famielenberater;Familienberater;;1;1;;2
757;Altbaisanierung;Altbausanierung;1;;;;1
758;Therapir;Therapie;1;;;;1
759;rinigung;Reinigung;;;1;;1
760;Anwelte;Anwälte;1;;;;1
761;contianer;Container;;;;1;1
762;bauunternehmn;Bauunternehmen;;;1;;1
763;fotodesgn;Fotodesign;;;1;;1
764;plastsche;plastische;;;1;;1
765;Schirurgie;Chirurgie;;1;;;1
766;ingineur;Ingenieur;;;1;1;2
767;Chirotherapoe;Chirotherapie;1;;;;1
768;Reinigungf;Reinigung;;1;;;1
769;gastroetsntologe;Gastroenterologe;;2;2;;4
770;Autowerkstattb;Autowerkstatt;;1;;;1
771;herzkateder;Herzkatheter;1;;1;;2
772;Strefrecht;Strafrecht;1;;;;1
773;Hausmeisetrservice;Hausmeisterservice;;;;1;1
774;-verreter;Vertreter;1;1;;;2
775;unallchirurgie;Unfallchirurgie;;;1;;1
776;Physliotherapie;Physiotherapie;;1;;;1
777;Garetn-;Garten;;1;;1;2
778;wohnungv;Wohnung;;1;;;1
779;handwerer;Handwerker;;;1;;1
780;Dokuemtnationsarbeiten;Dokumentationsarbeiten;;;;2;2
781;Unfallgutchter;Unfallgutachter;;;1;;1
782;Volzwagen;Volkswagen;1;;1;;2
783;physiotherpie;Physiotherapie;;;1;;1
784;Festerputzr;Fensterputzer;;;1;;1
785;autowerstatt;Autowerkstatt;;;1;;1
786;Autowrstatt;Autowerkstatt;;;2;;2
787;Urologed;Urologe;;1;;;1
788;jaloisien;Jalousien;1;;;;1
789;Hausverwaltunf;Hausverwaltung;1;;;;1
790;Schmuxk;Schmuck;1;;;;1
791;Rechtsjanwalt;Rechtsanwalt;;1;;;1
792;Deutschher;deutscher;;1;;;1
793;Pakettansport;Pakettransport;;;1;;1
794;malereibetrirb;Malereibetrieb;1;;;;1
795;psychiate;Psychiater;;;1;;1
796;psychotheraoue;Psychotherapie;2;;;;2
797;Stuckater;Stuckateur;;;1;;1
798;Immobilienmajler;Immobilienmakler;1;;;;1
799;Autowerkstattf;Autowerkstatt;;1;;;1
800;bestettung;Bestattung;1;;;;1
801;Reiseveranstalrter;Reiseveranstalter;;1;;;1
802;Arisssarbeiten;Abrissarbeiten;;1;1;;2
803;matthuas;Matthias;1;;;;1
804;immobileinverwalter;Immobilienverwalter;;;;1;1
805;facanwalt;Fachanwalt;;;1;;1
806;markler;Makler;;;1;;1
807;Steuerberster;Steuerberater;1;;;;1
808;hautarzdt;Hautarzt;;1;;;1
809;transpotr;Transport;;;;1;1
810;heilpraktier;Heilpraktiker;;;1;;1
811;Raumausatter;Raumausstatter;;;2;;2
812;Restaurhant;Restaurant;;1;;;1
813;nagelpitzmittel;Nagelputzmittel;1;;;;1
814;Rechtsanwaltr;Rechtsanwalt;;1;;;1
815;Haushalthilfe;Haushaltshilfe;;;1;;1
816;Gebeudereinigung;Gebäudereinigung;1;;;;1
817;Zahnchirg;Zahnchirurg;;;2;;2
818;Reinigungsprodulten;Reinigungsprodukten;1;;;;1
819;medizien;Medizin;;1;;;1
820;Rsechtsanwalt;Rechtsanwalt;;1;;;1
821;Harrstudio;Haarstudio;1;;;;1
822;schädlingsbejämpfung;Schädlingsbekämpfung;1;;;;1
823;TANSPORT;Transport;;;1;;1
824;sächsiche;sächsische;;;1;;1
825;schreinereo;Schreinerei;1;;;;1
826;Rerinigung;Reinigung;;1;;;1
827;bausaunierung;Bausanierung;;1;;;1
828;flughafentrabnsfer;Flughafentransfer;;1;;;1
829;containerdienstz;Containerdienst;;1;;;1
830;hausartz;Hausarzt;;;;1;1
831;maschienen;Maschinen;;1;;;1
832;treuhaqnd;Treuhand;1;;;;1
833;osteopaten;Osteopathen;;;1;;1
835;appartment;Apartment;;1;;;1
836;gastroentrologe;Gastroenterologe;;;1;;1
837;teinmetze;Steinmetze;;;1;;1
838;Altbausarnierung;Altbausanierung;;1;;;1
839;Katzrnnanny;Katzennanny;1;;;;1
840;Wrihnacjtsbildr;Weihnachtsbilder;2;;1;;3
841;Weihnacjtsbildet;Weihnachtsbilder;2;;;;2
842;Michaeia;Michaela;1;;;;1
843;denleger;Bodenleger;;;2;;2
844;Mietrexht;Mietrecht;1;;;;1
845;Tekefonbuch;Telefonbuch;1;;;;1
846;Ortopedische;orthopädische;1;;1;;2
847;nasenkorekktur;Nasenkorrektur;;1;1;;2
848;Steuerberatzng;Steuerberatung;1;;;;1
849;Atohaus;Autohaus;;;1;;1
850;Zimmmerman;Zimmermann;;1;1;;2
851;zshnsrtzt;Zahnarzt;2;1;;;3
853;gastronimi;Gastronomie;1;;1;;2
854;versicheung;Versicherung;;;1;;1
855;Familienrecsht;Familienrecht;;1;;;1
856;Reingiung;Reinigung;;;;1;1
857;biladen;Bioladen;;;1;;1
858;Ofnungzeiten;Öffnungszeiten;1;;2;;3
859;Fucken;ficken;1;;;;1
860;Gastroentrologie;Gastroenterologie;;;1;;1
861;Dacdecker;Dachdecker;;;1;;1
862;haptzollamt;Hauptzollamt;;;1;;1
863;Algemein;allgemein;;;1;;1
864;Mascjhinen;Maschinen;;1;;;1
865;agenturt;Agentur;;1;;;1
866;rechtsanwälre;Rechtsanwälte;1;;;;1
867;Badaustellung;Badausstellung;;;1;;1
868;Allgemdeinarzt;Allgemeinarzt;;1;;;1
869;Änderunsschneiderei;Änderungsschneiderei;;;1;;1
870;Reinigungsdervice;Reinigungsservice;1;;;;1
871;Wohhnung;Wohnung;;1;;;1
872;stezuerberater;Steuerberater;;1;;;1
873;Orthomädieschuhmacher;Orthopädieschuhmacher;1;;;;1
874;-Jugrpsychater;Jugendpsychiater;1;1;3;;5
875;Steuerberatet;Steuerberater;1;;;;1
876;Straßenbauiten;Straßenbauten;;1;;;1
877;Stuerwesen;Steuerwesen;;;1;;1
878;Schornsteinfegert;Schornsteinfeger;;1;;;1
879;Homeopathie;Homöopathie;1;;;;1
880;kardiiologie;Kardiologie;;1;;;1
881;steuerberateer;Steuerberater;;1;;;1
882;Sicherheitsrtechnik;Sicherheitstechnik;;1;;;1
883;Fotographer;Fotograf;1;3;;;4
884;Klavierunterrucht;Klavierunterricht;1;;;;1
885;Mobilitait;Mobilität;1;1;;;2
886;Baumarjt;Baumarkt;1;;;;1
887;frauenarzzt;Frauenarzt;;1;;;1
888;Physiotherapier;Physiotherapie;;1;;;1
889;Allgemeiarzt;Allgemeinarzt;;;1;;1
890;Immibilien;Immobilien;1;;;;1
891;Reinigunkraft;Reinigungskraft;;;2;;2
892;rettuung;Rettung;;1;;;1
893;Klavierunterrichti;Klavierunterricht;;1;;;1
894;Zahnartz;Zahnarzt;;;;1;1
895;computerladn;Computerladen;;;1;;1
896;Ferienimmobil;Ferienimmobilie;;;2;;2
897;landshule;Landschule;;;1;;1
898;Metallverabeitung;Metallverarbeitung;;;1;;1
899;parkettlleger;Parkettleger;;1;;;1
900;Autowerkstactt;Autowerkstatt;;1;;;1
901;massagesessek;Massagesessel;1;;;;1
902;regnwassersysteme;Regenwassersysteme;;;1;;1
903;Unternehemn;Unternehmen;;;;1;1
904;ahnimplantste;Zahnimplantate;1;;1;;2
905;Uahnimplantst;Zahnimplantat;2;;;;2
906;heiznun;Heizung;;1;1;;2
907;parkeleger;Parkettleger;;;2;;2
908;Umzugszzunternehmen;Umzugsunternehmen;;2;;;2
909;Pflasterreinigugn;Pflasterreinigung;;;;1;1
910;Versicheurng;Versicherung;;;;1;1
911;marokanisches;marokkanisches;;;1;;1
912;touristinformation;Touristeninformation;;;2;;2
913;Psytherapeut;Psychotherapeut;;;3;;3
914;wohverwaltung;Wohnverwaltung;;;1;;1
915;strinmrrz;Steinmetz;3;;;;3
916;Arkturbüro;Architekturbüro;;;6;;6
917;hauswalter;Hausverwalter;;;3;;3
918;Baumschue;Baumschule;;;1;;1
919;apootheke;Apotheke;;1;;;1
920;Pizzaria;Pizzeria;1;;;;1
921;Elektrikerr;Elektriker;;1;;;1
922;Imobilienmarkler;Immobilienmakler;;1;1;;2
923;Badmobeln;Badmöbel;1;1;;;2
924;Gartenbav;Gartenbau;1;;;;1
925;Lebensmittelransport;Lebensmitteltransport;;;1;;1
926;Zahnartzt;Zahnarzt;;1;;;1
927;schankanlagenserivce;Schankanlagenservice;;;;1;1
928;schonheit;Schönheit;1;;;;1
929;fur;für;1;;;;1
930;Abbschleppdienst;Abschleppdienst;;1;;;1
931;Direktvertrueb;Direktvertrieb;1;;;;1
932;holzhandej;Holzhandel;1;;;;1
933;enossenschaf;Genossenschaft;;;2;;2
934;Versicherungenmakle;Versicherungsmakler;1;1;1;;3
935;Physiotheraie;Physiotherapie;;;1;;1
936;Juornalist;Journalist;;;;1;1
937;Einzekhandel;Einzelhandel;1;;;;1
938;Änderungschneidwr;Änderungsschneider;1;;1;;2
939;Autovermieutng;Autovermietung;;;;1;1
940;Inere;innere;;;1;;1
941;Porzellanresturierung;Porzellanrestaurierung;;;1;;1
942;Spezialtäten;Spezialitäten;;;1;;1
943;Privatpersoh;Privatperson;1;;;;1
944;Rechtsanwäte;Rechtsanwälte;;;1;;1
945;Langhammet;Langhammer;1;;;;1
946;Porzellaninstansetzung;Porzellaninstandsetzung;;;1;;1
947;Psycotherapeutin;Psychotherapeutin;;;1;;1
948;Fahrradwekstadt;Fahrradwerkstatt;1;;1;;2
949;Immobiliemrecht;Immobilienrecht;1;;;;1
950;rchtsanwalt;Rechtsanwalt;;;1;;1
951;Restaurantfr;Restaurant;;2;;;2
952;therapi;Therapie;;;1;;1
953;freiseur;Friseur;;1;;;1
954;andelsgesellschaft;Handelsgesellschaft;;;1;;1
955;Diretversicherung;Direktversicherung;;;1;;1
956;motoradhandel;Motorradhandel;;;1;;1
957;Änderungschneiudre;Änderungsschneider;;1;1;1;3
958;Steuerbeerater;Steuerberater;;1;;;1
959;Gebaudereinigung;Gebäudereinigung;1;;;;1
960;etriebshaftpflicht;Betriebshaftpflicht;;;1;;1
961;weinahndel;Weinhandel;;;;1;1
962;ökoligische;ökologische;1;;;;1
963;Berufsgenossenscxhadf;Berufsgenossenschaft;2;1;;;3
964;finazberatung;Finanzberatung;;;1;;1
965;Änderungschneiudr;Änderungsschneider;;1;2;;3
966;rechtsanwald;Rechtsanwalt;1;;;;1
967;firmenversicxherung;Firmenversicherung;;1;;;1
968;etriebshaftpflichtversicherung;Betriebshaftpflichtversicherung;;;1;;1
969;-wasswerinstallateur;Wasserinstallateur;;2;;;2
970;speziall;spezial;;1;;;1
971;uklearmedizin;Nuklearmedizin;;;1;;1
972;versicherunhg;Versicherung;;1;;;1
973;Wondervolle;wundervolle;1;;;;1
974;erufsunfähigkeitsversicherungen;Berufsunfähigkeitsversicherungen;;;1;;1
975;Besttungen;Bestattungen;;;1;;1
976;Reataurant;Restaurant;1;;;;1
977;gemeide;Gemeinde;;;1;;1
978;Dollmetscher;Dolmetscher;;1;;;1
979;Tierpleger;Tierpfleger;;;1;;1
980;Tieefbau;Tiefbau;;1;;;1
981;pitzaservice;Pizzaservice;1;;;;1
982;kosmetikk;Kosmetik;;1;;;1
983;hautarztt;Hautarzt;;1;;;1
984;Immoblien;Immobilien;;;1;;1
985;bvaudienstleistung;Baudienstleistung;;1;;;1
986;Flieseblger;Fliesenleger;1;;1;;2
988;Fassadenreiningun;Fassadenreinigung;;1;1;;2
989;schulbedaf;Schulbedarf;;;1;;1
990;Steeuer;Steuer;;1;;;1
991;Rechhtsanwalt;Rechtsanwalt;;1;;;1
992;Rechstschutz;Rechtsschutz;;;;1;1
993;baumpfelge;Baumpflege;;;;1;1
994;chirog;Chirurg;1;;1;;1
995;Recmhtsanwalt;Rechtsanwalt;;1;;;1
996;schweisstechmnik;Schweißtechnik;1;2;;;3
997;Versicherunu;Versicherung;1;;;;1
998;immobiliw;Immobilie;1;;;;1
999;heizugswartung;Heizungswartung;;;1;;1
1000;Neurodemitis;Neurodermitis;;;1;;1